Objeto;Ângulo (°);Distancia (m);Altura (m);Tempo (s);Velocidade Média (m/s)
esfera;7.73;1.0;0.134505045;1.33;0.7518796992481203
esfera;7.73;1.0;0.134505045;1.49;0.6711409395973155
esfera;7.73;1.0;0.134505045;1.49;0.6711409395973155
esfera;7.73;1.0;0.134505045;1.4;0.7142857142857143
esfera;7.73;1.0;0.134505045;1.31;0.7633587786259541
esfera;7.73;1.0;0.134505045;1.46;0.684931506849315
esfera;7.73;1.0;0.134505045;1.31;0.7633587786259541
esfera;7.73;1.0;0.134505045;1.31;0.7633587786259541
esfera;7.73;1.0;0.134505045;1.32;0.7575757575757576
esfera;7.73;1.0;0.134505045;1.36;0.7352941176470588
esfera;7.73;1.0;0.134505045;1.25;0.8
esfera;7.73;0.9;0.12105454;1.33;0.6766917293233082
esfera;7.73;0.9;0.12105454;1.28;0.703125
esfera;7.73;0.9;0.12105454;1.36;0.6617647058823529
esfera;7.73;0.9;0.12105454;1.3;0.6923076923076923
esfera;7.73;0.9;0.12105454;1.24;0.7258064516129032
esfera;7.73;0.9;0.12105454;1.25;0.72
esfera;7.73;0.9;0.12105454;1.17;0.7692307692307693
esfera;7.73;0.9;0.12105454;1.12;0.8035714285714285
esfera;7.73;0.9;0.12105454;1.24;0.7258064516129032
esfera;7.73;0.9;0.12105454;1.19;0.7563025210084034
esfera;7.73;0.8;0.107604036;1.15;0.6956521739130436
esfera;7.73;0.8;0.107604036;1.14;0.7017543859649124
esfera;7.73;0.8;0.107604036;1.1;0.7272727272727273
esfera;7.73;0.8;0.107604036;1.16;0.6896551724137931
esfera;7.73;0.8;0.107604036;1.17;0.6837606837606839
esfera;7.73;0.8;0.107604036;1.19;0.6722689075630253
esfera;7.73;0.8;0.107604036;1.08;0.7407407407407407
esfera;7.73;0.8;0.107604036;1.18;0.6779661016949153
esfera;7.73;0.8;0.107604036;1.13;0.7079646017699116
esfera;7.73;0.8;0.107604036;1.12;0.7142857142857143
esfera;7.73;0.7;0.094153531;1.06;0.660377358490566
esfera;7.73;0.7;0.094153531;0.95;0.7368421052631579
esfera;7.73;0.7;0.094153531;1.11;0.6306306306306305
esfera;7.73;0.7;0.094153531;1.12;0.6249999999999999
esfera;7.73;0.7;0.094153531;1.15;0.6086956521739131
esfera;7.73;0.7;0.094153531;1.09;0.6422018348623852
esfera;7.73;0.7;0.094153531;1.06;0.660377358490566
esfera;7.73;0.7;0.094153531;1.07;0.6542056074766355
esfera;7.73;0.7;0.094153531;1.02;0.6862745098039215
esfera;7.73;0.7;0.094153531;1.13;0.6194690265486725
esfera;7.73;0.6;0.080703027;1.02;0.5882352941176471
esfera;7.73;0.6;0.080703027;0.98;0.6122448979591837
esfera;7.73;0.6;0.080703027;1.06;0.5660377358490566
esfera;7.73;0.6;0.080703027;1.06;0.5660377358490566
esfera;7.73;0.6;0.080703027;0.91;0.6593406593406593
esfera;7.73;0.6;0.080703027;0.91;0.6593406593406593
esfera;7.73;0.6;0.080703027;1.02;0.5882352941176471
esfera;7.73;0.6;0.080703027;0.99;0.6060606060606061
